正式版本,临时版本,日期,更改内容
/,V100A00A,2022/6/29,新增：温控器控制时，3.5寸屏主界面状态显示
/,V100A00A,2022/6/29,删除：参数【地暖启动水温】
/,V100A00A,2022/6/29,修改：参数【机组类型】更名为【空调类型】
/,V100A00A,2022/6/29,新增：参数【太阳能开启水温】、【太阳能回差】
/,V100A00A,2022/6/29,修改：参数【F6-00】默认值由15改为10
/,V100A00A,2022/6/29,优化：快速制热水功能
/,V100A00A,2022/6/29,删除：参数【F6-00】
/,V100A00A,2022/6/29,修改：参数【压机制热水时长】更名为【优先制热水时长】
/,V100A00A,2022/6/29,修改：参数【压机制热水间隔】更名为【优先制热水间隔】
/,V100A00A,2022/6/29,优化：参数【室内设定温度】按制冷、制热分开，调整为【制冷室内设定温度】和【制热室内设定温度】
/,V100A00A,2022/6/29,优化：参数【室内设定温度(B)】按制冷、制热分开，调整为【制冷室内设定温度(B)】和【制热室内设定温度(B)】
/,V100A00A,2022/6/29,新增：参数【太阳能温度】，设为“使用”时，目前仅显示温度
/,V100A00A,2022/6/29,优化：参数【能量加载偏差】、【能量卸载偏差】按制冷、制热分开，调整为【制冷加载偏差】、【制冷卸载偏差】、【制热加载偏差】、【制热卸载偏差】
/,V100A00A,2022/6/29,优化：太阳能制热水时限制压机开启逻辑
/,V100A00A,2022/6/29,新增：强开外部热源功能
/,V100A00A,2022/6/29,优化：水箱电热功能
/,V100A00A,2022/6/29,优化：辅助电热功能
/,V100A00A,2022/6/29,优化：外部热源功能
/,V100A00A,2022/6/29,新增：增加机型并修改参数默认值
/,V100A00A,2022/6/29,修改：电磁三通阀2逻辑取消与开机挂钩
/,V100A00B2,2022/7/23,修改：修改参数默认值
/,V100A00B2,2022/7/23,修改：制热转速上限表环温点
/,V100A00B2,2022/7/23,新增：参数【辅热开启高温差】、【辅热开启低温差】、【地暖过热保护】
/,V100A00B2,2022/7/23,删除：参数【辅助电热数】
/,V100A00B2,2022/7/25,修改：【静音模式】更名为【静音级别】，设定范围改为“一级静音”、“二级静音”
/,V100A00B2,2022/7/25,新增：【假日离家制热】、【假日离家热水】
/,V100A00B2,2022/7/25,修复：环温-目标设定温度的“曲线9”线性计算边界值选择错误问题
/,V100A00B2,2022/7/25,优化：【热水功能】、【定时杀菌功能】属性改为运行时不可修改
/,V100A00B2,2022/7/25,新增：压机故障【环温过低限制压机开启】
/,V100A00B3,2022/7/26,优化：“快速制热水功能”更名为“强开热水模式”，判断逻辑优化
/,V100A00B3,2022/7/26,新增：定时杀菌功能
/,V100A00B3,2022/7/26,新增：“太阳能制热水限制压机开启”逻辑新增根据“太阳能温度TSL”的处理
/,V100A00B3,2022/7/26,新增：“太阳能水泵”逻辑新增根据“太阳能温度TSL”的处理
/,V100A00B3,2022/7/26,优化：电磁三通阀1关闭条件调整为仅判断是否有制热水需求
/,V100A00B3,2022/7/26,优化：电磁三通阀2开启条件调整为判断当前运行模式&是否有制热需求
/,V100A00B3,2022/7/26,优化：电磁三通阀3关闭条件补充地暖进水温度过高判断
/,V100A00B3,2022/7/26,新增：SW1、SW2拨码处理，读取辅助电热档位数和机器型号
/,V100A00B3,2022/7/26,新增：外机板点检试运行功能
/,V100A00B3,2022/7/26,修复：热水模式优先时，可能会出现模式不切换的问题，将原“压机运行时间”改为“模式运行时间”进行判断
/,V100A00B3,2022/7/26,优化：智能电网免费用电(I)、免费用电（II）和高峰用电状态下的动作逻辑
/,V100A00B3,2022/7/26,优化：免费用电状态(I)下，主界面热水设定温度显示固定为70℃
/,V100A00B3,2022/7/26,新增：点检试运行功能针对辅助电热、水箱电热、防冻结电加热带增加5s自动关闭逻辑
/,V100A00B4,2022/7/27,优化：点检试运行功能新增水箱电热开启时，辅助电热保持关闭限制
/,V100A00B4,2022/7/27,新增：水泵试运行功能
/,V100A00B5,2022/7/27,修复：水泵试运行计时错误问题
/,V100A00B5,2022/7/27,修复：温控器模式切换时，无法正常开机的问题
/,V100A00B5,2022/7/27,新增：制冷试运行功能
/,V100A00B5,2022/7/27,新增：制热试运行功能
/,V100A00B5,2022/7/27,新增：制热水试运行功能
/,V100A00B6-,2022/7/27,优化：强开辅助电热、水箱电热、外部热源
/,V100A00B6-,2022/7/27,修复：强开辅助电热关闭判断条件使用错误问题
/,V100A00B7,2022/7/28,优化：地暖烘干功能
/,V100A00B8,2022/7/28,新增：参数【地暖预热温度】、【地暖预热间隔】、【地暖预热时长】
/,V100A00B8,2022/7/28,新增：地暖预热功能
/,V100A00B9,2022/7/28,合并：辅助电热分档控制
/,V100A00B9,2022/7/28,合并：修改变频风速处理，压机启动前3分钟，屏蔽压机频率、排温修正
/,V100A00B9,2022/7/28,合并：【PFC设置】默认值为“自动”
/,V100A00B10,2022/7/28,新增：地暖预热功能适配3.5寸屏界面
/,V100A00B10,2022/7/28,新增：定时地暖烘干功能适配3.5寸屏界面
V100A00,/,2022/7/29,归档：V100A00
/,V100A01A0,2022/7/29,修复：参数【地暖室温回差】无单位问题
/,V100A01A0,2022/7/29,修改：【PWM风速过低】默认值由150改为50
/,V100A01B0,2022/7/30,修复：双区水温控制，且热水模式优先时，B区、热水开机且均有需求，若此时关闭热水，运行模式不切换问题
/,V100A01B0,2022/8/1,修复：地暖预热功能参数引用错误问题
/,V100A01B0,2022/8/1,修复：制冷/制热时的能调控制温度&加卸载偏差取值错误
/,V100A01B,2022/8/1,/
/,V100A01C,2022/8/1,修复：智能电网状态图标显示
/,V100A01D0,2022/8/2,修复：环温-目标设定温度曲线温度选择错误问题
/,V100A01D1,2022/8/2,合并：APP功能
/,V100A01D1,2022/8/2,修改：用户参数组隐藏【静音级别】不显示
/,V100A01D2,2022/8/2,修改：删除无用参数【辅助电热反馈】、【水箱电热反馈】，辅助电热反馈&水箱电热反馈默认为常闭
/,V100A01D3,2022/8/3,优化：辅助电热、水箱电热输出前检测信号由检测常开闭合信号改为检测常闭断开信号
/,V100A01D3,2022/8/3,新增：辅助电热过载故障
/,V100A01D3,2022/8/3,新增：水箱电热过载故障
/,V100A01D3,2022/8/3,修复：下回水泵定时开启后，时间到达不关闭问题
/,V100A01D3,2022/8/3,修复：定时杀菌功能开启后，压机未开，但电磁三通阀1未得电问题
/,V100A01D3,2022/8/3,修复：仅A区制热开机并开启定时杀菌功能，待杀菌结束后热水仍保持开机问题
/,V100A01D3,2022/8/3,修复：仅A区制热开机并开启定时杀菌功能，电磁三通阀2未得电问题
/,V100A01D3,2022/8/3,修复：模式需求计算逻辑，新增压机保持区回差处理
/,V100A01D3,2022/8/3,修复：调频控制温度错误使用为能调控制温度问题
/,V100A01D4,2022/8/4,修复：主界面不显示模块变频水泵状态问题
/,V100A01D4,2022/8/4,修改：修改参数默认值【制冷风机最低】改为250，【PWM风速过低】改为100
/,V100A01D4,2022/8/4,修改：单模块时，取消“0#板 环境温度故障”、“0#板 总出水温度故障”等报警，部分故障名微调
/,V100A01D5,2022/8/5,新增：假日离开模式
/,V100A01D5,2022/8/5,新增：假日在家模式
/,V100A01D5,2022/8/5,合并：防冻逻辑优化
/,V100A01D5,2022/8/6,修复：00#压机故障判断逻辑
/,V100A01D5,2022/8/6,优化：水箱电热环温条件增加1℃回差
/,V100A01D5,2022/8/6,修改：“环温限制压机开启”故障自动复位条件改为判断环温不处于压机关闭区
/,V100A01D6,2022/8/8,修复：辅助电热，计算档位为2档时，线控器辅助电热图标不亮问题
/,V100A01D6,2022/8/8,修复：辅助电热，环境温度故障时满足温度条件不开辅助电热问题
/,V100A01D6,2022/8/8,修复：冷媒液侧温度故障、冷媒气侧温度故障，无法复位问题
/,V100A01D6,2022/8/9,修复：空调和热水同时有需求时，外部热源图标同时显示问题
/,V100A01E,2022/8/10,修复：定时杀菌功能，高温杀菌计时错误问题
/,V100A01E,2022/8/10,修复：定时杀菌功能，高温杀菌计时限制过大问题，若热水水箱温度超过70℃，计时将错误清零
/,V100A01E,2022/8/11,优化：变频水泵控制逻辑
/,V100A01F,2022/8/12,修复：辅助电热/水箱电热禁用时，依然会检测辅助电热反馈、水箱电热反馈并报故障的问题
/,V100A01H,2022/8/13,优化：【变频水泵厂家】增加“无”选项
/,V100A01H,2022/8/13,优化：增加防冻结电加热带温度检测消抖，防止误触发
/,V100A01H,2022/8/15,修改：修改参数【PWM风速过低】默认值改为50，参数【制冷风机最低】默认值改为150
/,V100A01H,2022/8/15,修改：辅助电加热逻辑：使用拨码配置IBH1、IBH2，使用参数【辅助电热调档】设置调档
/,V100A01H,2022/8/15,修改：使用拨码进行设置机型
/,V100A01H,2022/8/15,增加：“机型设置异常”故障，目前仅识别机型未设置的情况，可用【机型设置校验】使能该故障
/,V100A01H,2022/8/15,修改：低温制冷部分逻辑
/,V100A01H,2022/8/15,修改：修改工况频率表制冷工况点
/,V100A02A,2022/8/16,删除：参数【水泵额定转速】
/,V100A02A,2022/8/18,优化：变频水泵控流量逻辑，新增参数【水泵目标流量】，参数【变频水泵控制】新增选项“仅得电”、“调试”
/,V100A02A,2022/8/19,修复：二次开启制热和热水时，不会优先制热水的问题
/,V100A02A,2022/8/19,删除：参数【热水水箱温度探头】，热水功能使用时固定为使用
/,V100A02A,2022/8/19,修改：参数【掉电记忆开关机】默认值改为“禁用”
/,V100A02A,2022/8/19,增加：机型匹配逻辑
/,V100A02A,2022/8/19,删除：三个变频驱动参数：变频最大电流限制、变频负载过重时间、变频堵转降速时间
/,V100A02A,2022/8/19,修改：修改限降频逻辑，压机启动后就生效
/,V100A02A,2022/8/19,增加：增加额定维持时间（第二平台维持时间）
/,V100A02B,2022/8/20,修改：参数【掉电记忆开关机】默认值改为“使用”
/,V100A02B,2022/8/20,修改：APP多语言显示顺序
/,V100A02B,2022/8/20,调整：用户参数组部分参数不显示，删除参数【锁屏功能设置】、【报警音设置】、【按键蜂鸣器】
/,V100A02B,2022/8/22,优化：能力测试
/,V100A02B,2022/8/22,新增：电磁三通阀1、2、3输出模拟量（ON/OFF）
/,V100A02B,2022/8/22,修复：制热和热水同时有需求时，热水优先，在压机未正式开启前，水箱电热会开几秒再关掉的问题
/,V100A02B,2022/8/23,新增：商检功能
/,V100A02B,2022/8/23,/
/,V100A02C,2022/8/25,优化：商检逻辑
/,V100A02D,2022/8/23,优化：水箱电热逻辑，机组制热水运行时控制逻辑，将“压机运行时间”改为“制热水累计运行时间”
/,V100A02D,2022/8/23,优化：辅助电热逻辑，机组制热/制热水运行时控制逻辑，将“压机运行时间”改为“制热水累计运行时间”
/,V100A02D,2022/8/24,修复：环境温度≥【水箱电热开环温】，1℃处理错误问题
/,V100A02D,2022/8/25,修复：第二次进入定时杀菌功能，处于阶段一时，压机和辅助电热同时开启
/,V100A02D,2022/8/25,修复：定时杀菌功能，进入阶段二时，满足条件后水箱电热无法开启
/,V100A02D,2022/8/25,修复：定时杀菌功能，进入阶段二时，满足条件后外部热源无法开启
/,V100A02E,2022/8/27,修复：未关闭调试模式导致变频器参数会被乱改、影响正常使用的问题
/,V100A02F,2022/8/27,修改：商检时风速改为自动控制
/,V100A02G0,2022/8/29,优化：商检逻辑
/,V100A02G1,2022/8/29,优化：商检逻辑，开放相关参数
/,V100A02H,2022/8/27,修复：制冷/制热试运行图标显示问题
/,V100A02H,2022/8/27,修复：进入制冷试运行功能后，到温不停机问题
/,V100A02H,2022/8/29,修复：部分温度探头故障导致退出收氟功能问题
/,V100A02H,2022/8/29,修复：进入制热试运行功能后，到温不停机问题
/,V100A02I,2022/8/30,/
/,V100A02J,2022/8/31,优化：APP面板修改语言后未保存问题
/,V100A02J,2022/8/31,优化：水泵试运行功能不能根据场景联动
/,V100A02J,2022/9/1,优化：热水、制热切换不停机等问题
/,V100A02J,2022/9/1,优化：外循环泵逻辑
/,V100A02J,2022/9/1,修复：进入地暖预热功能后，定时功能仍然有效问题
/,V100A02J,2022/9/1,修复：进入能力测试，手动除霜关机问题
/,V100A02K,2022/9/1,优化：地暖烘干功能
/,V100A02K,2022/9/1,修复：防冻结电加热带中偏差问题
/,V100A02K,2022/9/1,优化：空气排空试运行功能根据场景联动的问题
/,V100A02K,2022/9/1,修复：水泵试运行电磁三通阀3动作问题
/,V100A02K,2022/9/2,优化：空气排空试运行、水泵试运行动作时序
/,V100A02K,2022/9/2,优化：功率模式及智能电网逻辑
/,V100A02K,2022/9/3,优化：主界面图标显示
/,V100A02K,2022/9/3,修复：收氟时关机不成功的问题
/,V100A02K,2022/9/3,优化：假日离家模式下，主界面显示
/,V100A02L,2022/9/5,增加：主界面收氟图标指示
/,V100A02L,2022/9/6,优化：辅阀禁用时，不执行辅阀归零
/,V100A02L,2022/9/6,优化：商检过程，缩短商检耗时
/,V100A02L,2022/9/6,修改：【PWM风速检测延时】默认值由30改为60
/,V100A02L,2022/9/6,优化：假日离开模式，限制杀菌功能仅进入一次
/,V100A02L,2022/9/6,删除：参数【主阀使用设置】、【辅阀使用设置】
/,V100A02M,2022/9/6,修改：参数【PWM调速间隔】默认值由15改为18
/,V100A02M,2022/9/7,优化：进入收氟功能后允许跳过预热
/,V100A02M,2022/9/7,修复：单区模式切换时，压机启动后，按线控器关机、模式键仍有效问题
/,V100A02M,2022/9/7,修复：外机商检参数使用错误问题
/,V100A02N,2022/9/8,优化：变频水泵初始输出改为以最高转速输出
/,V100A02N,2022/9/8,新增：变频水泵异常码显示&变频水泵子故障记录
/,V100A02N,2022/9/8,优化：辅助电热保持关闭的模式条件
/,V100A02N,2022/9/8,修复：线控器双区水温时，主界面A、B区温度设置异常的问题
/,V100A02N,2022/9/8,修复：修复温控器双区开关时，A&B区制热运行，模式切换为制冷后，B区仍然保持开启的问题
/,V100A02N,2022/9/9,优化：假日离家模式补充支持B区
V100A02,/,2022/9/9,修复：【高低压力故障】某些情况出现高低压停机后，高低压故障会闪退
V100A02,/,2022/9/9,修改：参数默认值：制热出温限制1~5，开喷液阀排温
V100A02,/,2022/9/9,修改：参数名【辅助电热调档】
V100A02,/,2022/9/9,修复：高低压力故障闪退问题
V100A02,/,2022/9/9,修复：压机到达水温限制后，辅助电热没有接力开启的问题
V100A02,/,2022/9/9,归档：V100A02
/,V100A03A,2022/9/14,新增：参数【商检电热时间】
/,V100A03A,2022/9/14,修改：【商检电热时间】默认值由30改为40
/,V100A03A,2022/9/14,新增：线控水箱电热逻辑
/,V100A03A,2022/9/14,新增：线控外部热源逻辑
/,V100A03A,2022/9/14,优化：外部热源保持关闭的模式条件
/,V100A03A,2022/9/15,修复：内机保持上电，且外机经历完全断电并重新上电后，变频压机无法重新启动问题
/,V100A03A,2022/9/15,新增：4G升级提示交互
/,V100A03B,2022/9/17,优化：板换出水温度限制逻辑
/,V100A03B,2022/9/17,优化：取消进入能力测试的限制
/,V100A03B,2022/9/17,新增：【商检制热风速】、【商检制冷风速】
/,V100A03B,2022/9/17,优化：外机商检逻辑
/,V100A03B,2022/9/17,优化：“机型设置异常”故障处理优化
/,V100A03C,2022/9/18,修复：双区控制时，制热能调目标温度处理错误问题
/,V100A03C,2022/9/19,修复：线控器双区混合控制时，B区温度无法正常设置
/,V100A03C,2022/9/19,修复：空调运行时杀菌，执行热水关机后，杀菌图标仍然显示的问题
/,V100A03C,2022/9/20,修改：参数【定时杀菌功能】、【杀菌温度】、【杀菌最大周期】、【杀菌高温时间】调整为用户参数
/,V100A03D,2022/9/20,修改：参数【水箱电热开环温】上限值改为30
/,V100A03D,2022/9/20,修复：制热和热水运行，切换制冷模式时，模式切换异常问题
/,V100A03D,2022/9/20,优化：区分“机组制热水运行控制”和“定时杀菌时控制”两种情况
/,V100A03D,2022/9/21,新增：杀菌辅助电热开启时不开外部热源的限制
/,V100A03D,2022/9/21,优化：取消热水关机水箱电热关闭后，对空调开启辅助电热的限制
/,V100A03D,2022/9/22,修改：【变频水泵控制】取消“禁用”选项
/,V100A03D,2022/9/22,优化：仅断开外机板和变频驱动通信时的故障处理
/,V100A03E,2022/9/23,修复：启动和运行时加载偏差处理不一致问题
/,V100A03E,2022/9/23,修改：内机商检时增加内外机通讯检测（后来确认不检测，已删除）
/,V100A03E,2022/9/23,修改：电加热商检逻辑：T总出水40s时刻-T总出水0s时刻≥1℃且T总出水＞T出水
/,V100A03E,2022/9/23,"修改：商检内机时强制检测AI5,AI6的所有探头"
/,V100A03E,2022/9/23,增加：显示屏检测“ERR HMI”
/,V100A03E,2022/9/23,修改：商检模式，不记忆开关机状态，保证出厂默认为关机状态
/,V100A03E,2022/9/23,增加：拨码开关、拨盘检测
/,V100A03E,2022/9/23,增加：继电器轮询（电加热、水泵独立控制）（后来确认不检测，已删除）
/,V100A03F,2022/9/25,增加：wifi商检
/,V100A03G,2022/9/26,修复：电热防冻退出条件错误
/,V100A03G,2022/9/26,优化：变频水泵仅得电不开启辅助电热
/,V100A03G,2022/9/26,增加：缓冲水箱上部温度探头、缓冲水箱下部温度探头，以及相应的故障检测
/,V100A03G,2022/9/27,修复：板换出温限制逻辑限制热水不开辅助电热的问题
/,V100A03H,2022/9/28,修复：重新上电会限制进入压机防冻的问题
/,V100A03H,2022/9/28,新增：防冻时，压机&辅助电热图标显示
/,V100A03H,2022/9/28,优化：模式切换逻辑
/,V100A03H,2022/9/28,优化：商检时缩短开风机延时、开四通阀延时、水流开关消抖延时等
/,V100A03I,2022/9/29,优化：使用缓冲水箱温度时相关优化
/,V100A03I,2022/9/29,优化：主界面设定温度显示优化
/,V100A03I,2022/9/29,优化：商检时提高变频转速读取速率，减少商检过程等待时间
/,V100A03I,2022/9/29,优化：商检WiFi超时时间改为80秒
/,V100A03J,2022/9/30,修改：固化机型参数默认值&权限
/,V100A03J,2022/9/30,优化：主界面超范围设定温度值的显示问题
/,V100A03J,2022/9/30,优化：水泵试运行逻辑，修复水流不足故障时触发了一次关机而退出防冻的问题
V100A03,/,2022/9/30,归档：V100A03
/,V100A04A,2022/10/8,修改：参数【主阀过热排温补】默认值为-0.9，参数【主阀过热频率补】默认值为0
/,V100A04B,2022/10/8,新增：变频调阀逻辑，默认禁用
/,V100A04B,2022/10/9,修改：（仅单相10KW&三相10KW）参数【冷上环43会20】默认值为70
/,V100A04B,2022/10/9,修改：（仅单相10KW&三相10KW）参数【冷上环43回35】默认值为68
/,V100A04C,2022/10/10,/
V100A04,/,2022/10/10,修改：（单相8KW、单相10KW、三相10KW）参数【驱动转速下限】默认值为15
V100A04,/,2022/10/10,归档：V100A04
/,V100A05A,2022/10/11,修改：参数【线控器控制】、【温控器控制】权限为工程
V100A05,/,2022/10/11,归档：V100A05
/,V100A06A,2022/10/12,优化：产线测试优化
/,V100A06B,2022/10/13,优化：产线测试优化
/,V100A06C,2022/10/14,修改：参数【线控器控制】运行中不可修改
/,V100A06C,2022/10/17,修改：杀菌开启水箱电热取消环温限制
/,V100A06C,2022/10/19,修改：参数【最小预热掉电】、【最大预热掉电】、【最小预热时间】、【最大预热时间】运行中不可修改
/,V100A06C,2022/10/19,新增：压机第二启动平台逻辑
/,V100A06C,2022/10/19,新增：参数【最小除霜间隔】、【紧急除霜间隔】
/,V100A06C,2022/10/24,优化：杀菌阶段2时变频水泵、辅助电热和外部热源的动作逻辑
/,V100A06C,2022/10/25,新增：线控器与内机通信断开3min后故障处理
/,V100A06C,2022/10/25,新增：工程参数【制冷模式】、【制热模式】
/,V100A06C,2022/10/28,修复：辅助电热过载故障会停机的问题
/,V100A06C,2022/10/28,修改：固化机型参数默认值
/,V100A06D,2022/11/1,修复：双区制冷时，通过BMS方式开机时，主界面B区状态显示问题
/,V100A06D,2022/11/1,修复：特定情况开关机变频水泵会延时关闭的问题
/,V100A06D,2022/11/3,修改：商检时低压检测延时改为0s
/,V100A06D,2022/11/3,修改：商检时低压故障消抖延时改为30s
/,V100A06D,2022/11/4,修改：固化机型参数默认值
/,V100A06E,2022/11/4,修改：关闭模块调试模式，解决限制进入防冻的问题
/,V100A06E,2022/11/4,修改：关闭模块调试模式，解决限制进入防冻的问题
/,V100A06F,2022/11/5,修复：热水重新开机后，太阳能水泵未满足关闭条件仍保持开启的问题
/,V100A06F,2022/11/5,优化：BMS开机并切换模式的状态显示问题
/,V100A06F,2022/11/5,修复：热水重新开机后，太阳能水泵未满足关闭条件仍会限制压机开启的问题
/,V100A06F,2022/11/5,修复：能力测试参数【制热退除霜翅温x】小数点问题
/,V100A06G,2022/11/7,优化：波兰语部分翻译
/,V100A06G,2022/11/7,优化：快速频繁开关切换制冷B区关闭逻辑
/,V100A06G,2022/11/7,修改：参数【制热设定温度(B)】范围改为25～60，默认值改为35
/,V100A06H,2022/11/8,优化：参数部分波兰语翻译
/,V100A06H,2022/11/8,优化：BMS快速频繁开机B区制冷可能开启情况
/,V100A06I,2022/11/9,优化：部分参数选项波兰语翻译
/,V100A06J,2022/11/9,优化：部分显示英语、波兰语翻译
V100A06,/,2022/11/10,产线测试优化
V100A06,/,2022/11/10,归档：V100A06
/,V100A07a,2022/12/16,修改：部分显示字符串波兰语翻译
/,V100B01A,2022/12/17,新增：IBH1、IBH2增加3秒电热连开间隔
/,V100B01A,2022/12/17,新增：“停风开启间隔”逻辑
/,V100B01A,2022/12/17,新增：【强关小蒸发上限】复用为报警值
/,V100B01A,2022/12/17,修改：热水优先禁用且使用缓冲水箱温度时，由热水切换到制热，应无需满足“无热水需求”条件
/,V100B01A,2022/12/17,"修改：版本号赋值处理，解决云服务无法成功识别版本号的问题 "
/,V100B01A,2022/12/17,修复：太阳能水路防冻异常问题
/,V100B01A,2022/12/17,修复：杀菌阶段2无法开启辅助电热或外部热源的问题
/,V100B01A,2022/12/17,优化：BMS功能
/,V100B01A,2022/12/17,优化：BMS协议开放点检试运行
/,V100B01A,2022/12/17,优化：点检试运行功能
/,V100B01A,2022/12/17,新增：变频风机线性调速增加中速段逻辑
/,V100B01A,2022/12/17,修复：开机后环温变化满足条件还会触发进入预热的问题
/,V100B01A,2022/12/17,开放：新级联功能
/,V100B01A,2022/12/17,增加：阀后温度、阀后温度故障
/,V100B01A,2022/12/17,优化：智能电网逻辑
/,V100B01A,2022/12/17,修改：变频故障的有限制复位做成参数可选
/,V100B01A,2022/12/17,开放：把A区、B区、热水设定范围开放到BMS协议中
/,V100B01A,2022/12/17,新增：参数【辅阀当喷液阀】
/,V100B01A,2022/12/17,修复：定时静音功能开关问题
/,V100B01A,2022/12/17,修改：将【制冷设定温度】、【制热设定温度】、【热水设定温度】、【制冷设定温度B】、【制热设定温度B】范围开放到BMS协议
/,V100B01A,2022/12/17,修改：级联相关显示字符串波兰语翻译
/,V100B01B,2022/12/20,修改：波兰字符翻译
/,V100B01C,2022/12/21,修改：用户及以上权限开放初始化操作
V100B01,/,2022/12/21,归档：V100B01
/,V100B02A,2023/1/5,新增：匈牙利字符翻译
/,V100B02A,2023/1/6,修改：匈牙利字符翻译修正
/,V100B02A,2023/1/7,修复：使用温控器时退出防冻问题
/,V100B02A,2023/1/7,优化：电磁三通阀3增加时间限制
/,V100B02B,2023/1/8,优化：定时防冻逻辑
/,V100B02B,2023/1/9,优化：温控器双区控制时输出状态显示问题
/,V100B02C,2023/1/9,修正：匈牙利字符翻译
/,V100B02D,2023/1/9,修正：匈牙利字符翻译
/,V100B02E,2023/1/9,修正：匈牙利字符翻译，前面的功能已确认过
/,V100B02E,2023/1/10,"优化：运行态防冻逻辑。
原功能：级联时，非所有模块可制热水时，若A区待机、B区待机，热水运行，进入运行态空调水路防冻，若空调防冻温度持续不上升，导致无法退空调防冻
优化为：增加超时退出功能，若仅水泵防冻持续15分钟或电热和压机防冻持续1小时，水温都未满足退出条件，则退出防冻"
/,V100B02F,2023/1/11,"优化：定时防冻逻辑。
原功能：A区待机、B区运行、热水运行；B区因温度到停压机，A区进入定时防冻后压机不会开启，仅阀切换、开水泵
优化为：A区待机、B区运行、热水运行；B区因温度到停压机，A区进入定时防冻后根据防冻温度决定是否重新开启压机"
/,V100B02G,2023/1/12,"优化：不同试运行功能间的切换。
原功能：在进行某项试运行期间，可开启其他试运行同时运行
优化为：在进行某项试运行期间，开启其他试运行同时关闭之前的试运行，防止不了解该功能的人员同时开启多个试运行，导致功能混乱"
/,V100B02G,2023/1/13,"优化：主机界面压机、辅助电热图标状态显示。
原功能：运行态防冻时，压机和辅热的图标仅在之前正常开启的区域显示，防冻区域有时不显示对应的压机和辅热图标
优化为：运行态防冻时，压机或辅热在为防冻区域提供热源时，就在对应的区域显示压机和辅热图标"
/,V100B02G,2023/1/13,"修改：空气排空试运行阶段5开启混合水泵
原功能：空气排空试运行阶段5逻辑
- 阶段5：B区制热空气排空试运行
- 电磁三通阀1{S3V1}保持ON输出
- 电磁三通阀2{S3V2}保持OFF输出
- 电磁三通阀3{S3V3}保持OFF输出
- 变频水泵{PUMPf}和混合水泵{PUMPm}保持开启，维持10分钟
- 外循环泵{PUMPo}保持关闭
优化为：
- 阶段5：B区制热空气排空试运行
- 电磁三通阀1{S3V1}保持ON输出
- 电磁三通阀2{S3V2}保持OFF输出
- 电磁三通阀3{S3V3}保持OFF输出
- 变频水泵{PUMPf}和混合水泵{PUMPm}保持开启，维持10分钟
- 外循环泵{PUMPo}保持开启"
V100B02,/,2023/1/15,归档：V100B02
